Year,AI Technology Type,Industry,Region,AI Rating Score,Investment in AI (USD Million),Adoption Rate (%),Innovation Index Score,AI Workforce (% of Total Workforce),Customer Satisfaction Score
2014,Predictive Analytics,Healthcare,Latin America,88.56821475796855,988.719544222789,39.92330126983528,97,2.706748200840765,8.4
2021,Predictive Analytics,Retail,Asia-Pacific,79.98924923308091,1664.0259809594318,31.032578670912066,95,4.719858231006375,9.0
2021,Computer Vision,Automotive,Asia-Pacific,63.36105625704284,1544.2952185092593,49.58890662533654,99,3.94839090326693,8.4
2014,Predictive Analytics,Finance,Europe,64.22651818505136,847.0423671496452,48.78787392668316,91,7.9505483886922415,7.8
2021,Computer Vision,Retail,Latin America,70.07518330407413,1992.95990862829,81.8724946216582,74,5.403620027285687,8.4
2022,Computer Vision,Automotive,Europe,89.84874065117846,514.2907782038997,23.693710372115817,55,9.202014299048226,9.1
2020,Machine Learning,Finance,Europe,66.03908045146953,1515.5900269054266,54.99429251125359,73,4.899011674067154,8.8
2023,Computer Vision,Finance,Latin America,65.64766445343543,1695.4414290853383,23.371511377539633,72,2.2146581303293833,7.8
2019,Computer Vision,Finance,North America,76.04598014212452,1003.6767394988793,23.727939764672765,91,2.02044319135822,8.6
2015,Robotics,Healthcare,Europe,76.43542413415419,972.3766101531796,21.745460799913406,80,2.379558128460819,8.1
2014,Computer Vision,Manufacturing,North America,91.40938309825356,1939.9111545056069,61.80668317042186,59,6.667482292495404,7.4
2021,Robotics,Healthcare,North America,96.44928981011878,837.7944966952884,57.02490368573771,51,5.34687387155917,7.9
2019,Predictive Analytics,Finance,North America,70.81499237993475,477.3607773361887,91.3276075994506,86,7.9616228891641185,8.1
2023,Predictive Analytics,Healthcare,Europe,72.0341647997328,1723.8550538345032,62.22234772884269,75,11.141075153385012,7.7
2022,Computer Vision,Healthcare,Asia-Pacific,91.44490845120188,570.0700890454419,53.089105462894295,72,5.995052009424964,9.2
2020,Machine Learning,Manufacturing,Europe,86.18094803365855,1089.0207326112502,95.01269080530645,87,6.662989722396369,7.8
2019,Natural Language Processing (NLP),Finance,Latin America,82.20413855117077,914.6048526936796,55.65738663939819,51,2.5834446470596575,7.2
2015,Machine Learning,Finance,North America,69.02478619123656,1095.5101117415736,17.495979485430745,80,3.4296185521043854,9.4
2015,Predictive Analytics,Finance,Middle East & Africa,55.941979716477434,814.0859351264041,72.0401944868422,91,3.771903594624674,8.3
2020,Robotics,Manufacturing,Middle East & Africa,54.511787817694184,1481.5652825186196,54.87522445151083,77,11.165007683388925,9.8
2018,Computer Vision,Automotive,Europe,74.55739201282479,2206.616043602089,80.3348351726406,93,2.585402960430389,9.5
2016,Computer Vision,Manufacturing,Middle East & Africa,95.67414551580072,1223.504510085841,23.52478355317112,74,4.192893399983197,9.6
2015,Machine Learning,Finance,Middle East & Africa,100.0,951.6798871594308,31.980540180586775,74,5.3143787677878205,7.2
2023,Machine Learning,Automotive,Latin America,92.9427319294459,901.9110022512801,21.69138139711528,95,6.173899367576698,9.8
2015,Predictive Analytics,Automotive,Middle East & Africa,71.49867179389187,806.3505602833817,27.64526112734504,75,6.634788841471492,9.7
2018,Computer Vision,Manufacturing,Middle East & Africa,100.0,1629.8493054317225,30.72991276014075,84,8.259213899929792,8.3
2019,Predictive Analytics,Manufacturing,Middle East & Africa,89.85260608531816,1839.5279525861818,78.42491088312619,75,3.5456413525152817,7.9
2016,Predictive Analytics,Retail,North America,56.740092212096314,1788.9363064058273,32.324888473224014,51,9.089967969643983,7.3
2018,Computer Vision,Retail,Middle East & Africa,75.44828474840521,2182.791538862948,55.33376463866574,55,3.061762300109449,7.7
2023,Robotics,Finance,Latin America,66.51029140772714,1494.7161528398995,52.39153539457415,66,3.2250010926554826,7.7
2023,Natural Language Processing (NLP),Automotive,North America,85.77087382655085,478.3357362134615,69.33430161203314,52,3.657194150312139,9.2
2017,Natural Language Processing (NLP),Healthcare,Middle East & Africa,86.22387525895533,1012.1972330457536,55.76940663560756,60,5.2257874753905424,9.4
2020,Natural Language Processing (NLP),Finance,Middle East & Africa,61.87560579437588,516.9217229889227,44.170182600654755,100,4.40283466834274,7.8
2016,Machine Learning,Retail,Middle East & Africa,63.965870398644256,819.9171152760545,38.62575737030898,65,6.257695303233195,7.7
2020,Predictive Analytics,Manufacturing,Europe,63.86203589316938,758.5227454187904,39.670320229351034,84,3.2684418394073713,8.1
2022,Predictive Analytics,Automotive,Asia-Pacific,84.4360977067268,830.9522994971527,62.607245364296794,63,4.572144949627091,7.8
2020,Robotics,Retail,Latin America,74.79401419574849,1240.1288392917256,66.76436018662321,66,3.3020174167811636,7.0
2015,Computer Vision,Healthcare,Middle East & Africa,74.38664734203685,1257.450589183767,80.81475516066332,62,4.304166706608909,8.2
2022,Natural Language Processing (NLP),Healthcare,Asia-Pacific,81.88744036655501,1040.9465892900023,47.23070635399073,81,3.5567963175002695,9.6
2022,Predictive Analytics,Healthcare,Middle East & Africa,67.74551860297908,694.9805813826691,61.176874264414664,94,5.1039042850103575,8.7
2014,Robotics,Healthcare,Europe,82.9980220996411,1609.1220747199118,42.507118933071766,60,5.8101375730584035,8.9
2023,Computer Vision,Automotive,Asia-Pacific,98.92194578766532,624.5874644206843,70.45384773039208,100,6.586049147158158,7.8
2018,Predictive Analytics,Healthcare,Middle East & Africa,90.15157394361174,1494.6730687207503,54.92030587842275,96,3.4622231364677467,7.9
2022,Computer Vision,Healthcare,Middle East & Africa,72.86962335065199,1044.9756320807635,31.961952428380872,98,7.000177788382662,9.9
2015,Machine Learning,Automotive,Europe,95.02873219294285,1513.202724718199,70.6150177257105,90,6.620312804121475,8.7
2019,Natural Language Processing (NLP),Automotive,Asia-Pacific,83.26194187577978,1658.4887972794884,72.55648020910202,86,4.447840425853522,7.8
2019,Predictive Analytics,Finance,Latin America,58.37804520189019,1367.8102469047021,42.385791042051245,61,9.994612265571401,9.2
2014,Robotics,Healthcare,Europe,85.04742536851747,911.9606652498212,53.33002792734086,80,8.26117679575524,9.3
2016,Robotics,Retail,Latin America,57.12335857270377,679.5167399871154,58.42608218940239,91,7.826488664360834,9.0
2023,Predictive Analytics,Retail,North America,69.52530111984208,729.8004934614588,42.5904753759004,51,3.9280803212080535,8.7
